date,image_name,no_distortion_pixel_mean,no_distortion_count,distortion_pixel_mean,distortion_count,total_mean,total_count
20210916130011,FA0002_GW01_H02_0015_20210916130011_farm_image_real_65ec4de0.jpg,3902.0,44,4390.0,14,3996.0,40
20210906130154,FA0002_GW01_H01_0001_20210906130154_farm_image_real_1ce30166.jpg,3452.0,42,3962.0,11,3565.0,40
20210911130855,FA0002_GW01_H01_0001_20210911130855_farm_image_real_562b6368.jpg,4084.0,46,4545.0,13,4157.0,40
20210914130418,FA0002_GW01_H02_0010_20210914130418_farm_image_real_ed0d441d.jpg,3326.0,42,3749.0,16,3500.0,40
20210926131014,FA0002_GW01_H02_0013_20210926131014_farm_image_real_430f1859.jpg,5549.0,19,6291.0,14,5864.0,33
20210904130141,FA0002_GW01_H02_0013_20210904130141_farm_image_real_7f2e4c8b.jpg,2042.0,48,2103.0,23,2119.0,40
20210916130949,FA0002_GW01_H01_0001_20210916130949_farm_image_real_bf0779e5.jpg,4716.0,57,5479.0,24,5046.0,40
20210923130231,FA0002_GW01_H01_0001_20210923130231_farm_image_real_f160277a.jpg,6047.0,37,6350.0,17,6287.0,40
20210908130826,FA0002_GW01_H02_0013_20210908130826_farm_image_real_6dd730b6.jpg,2678.0,52,2790.0,17,2764.0,40
20210924130331,FA0002_GW01_H01_0007_20210924130331_farm_image_real_bf6de36e.jpg,6359.0,20,6920.0,13,6580.0,33
20210915130442,FA0002_GW01_H02_0013_20210915130442_farm_image_real_73cb27d4.jpg,3702.0,38,4048.0,19,3765.0,40
20210927130825,FA0002_GW01_H01_0001_20210927130825_farm_image_real_9c457aca.jpg,6622.0,26,6953.0,8,6700.0,34
20210922130549,FA0002_GW01_H01_0007_20210922130549_farm_image_real_a499fde1.jpg,5913.0,18,6538.0,15,6197.0,33
20210917130433,FA0002_GW01_H01_0002_20210917130433_farm_image_real_21aa2dfa.jpg,5327.0,22,6007.0,7,5491.0,29
20210903130808,FA0002_GW01_H01_0001_20210903130808_farm_image_real_87190eae.jpg,2900.0,50,3132.0,20,2876.0,40
20210901130245,FA0002_GW01_H01_0007_20210901130245_farm_image_real_ebfbaff0.jpg,2583.0,51,2776.0,17,2627.0,40
20210903130940,FA0002_GW01_H01_0002_20210903130940_farm_image_real_ec2ea369.jpg,2808.0,43,3227.0,12,2833.0,40
20210928130117,FA0002_GW01_H01_0007_20210928130117_farm_image_real_ff8d7670.jpg,6545.0,19,7719.0,14,7043.0,33
20210924130151,FA0002_GW01_H02_0013_20210924130151_farm_image_real_3f41c7fc.jpg,5270.0,15,6010.0,14,5627.0,29
20210903130831,FA0002_GW01_H02_0010_20210903130831_farm_image_real_53aef136.jpg,2047.0,51,2259.0,28,2105.0,40
20210904130036,FA0002_GW01_H01_0001_20210904130036_farm_image_real_d89e344b.jpg,3103.0,52,3311.0,18,3216.0,40
20210913130425,FA0002_GW01_H01_0002_20210913130425_farm_image_real_bab8ef68.jpg,4800.0,26,5154.0,6,4867.0,32
20210929130050,FA0002_GW01_H02_0010_20210929130050_farm_image_real_62c3100c.jpg,5863.0,19,7295.0,13,6445.0,32
20210921130241,FA0002_GW01_H01_0002_20210921130241_farm_image_real_e3232264.jpg,5896.0,24,5904.0,10,5898.0,34
20210923130221,FA0002_GW01_H02_0010_20210923130221_farm_image_real_25449436.jpg,5213.0,30,5166.0,16,5164.0,40
20210925130522,FA0002_GW01_H01_0007_20210925130522_farm_image_real_14ab7222.jpg,6192.0,19,6247.0,9,6209.0,28
20210901130216,FA0002_GW01_H02_0015_20210901130216_farm_image_real_8b9c5d9e.jpg,1845.0,42,2148.0,17,1929.0,40
20210923130538,FA0002_GW01_H01_0002_20210923130538_farm_image_real_b637b926.jpg,6094.0,25,6962.0,18,6445.0,40
20210919130450,FA0002_GW01_H02_0010_20210919130450_farm_image_real_bce39c35.jpg,4286.0,35,4877.0,19,4393.0,40
20210928130432,FA0002_GW01_H02_0013_20210928130432_farm_image_real_54c7e239.jpg,5375.0,17,6131.0,12,5688.0,29
20210921130049,FA0002_GW01_H01_0007_20210921130049_farm_image_real_1a9bf384.jpg,6482.0,22,6421.0,19,6455.0,40
20210918130658,FA0002_GW01_H01_0002_20210918130658_farm_image_real_f7f0d288.jpg,5565.0,19,5841.0,8,5647.0,27
20210917130842,FA0002_GW01_H01_0001_20210917130842_farm_image_real_a85932ac.jpg,5291.0,29,6696.0,14,5725.0,40
20210903130831,FA0002_GW01_H02_0013_20210903130831_farm_image_real_4978d9c3.jpg,1983.0,54,2094.0,17,1990.0,40
20210911130953,FA0002_GW01_H01_0007_20210911130953_farm_image_real_2878e7df.jpg,4765.0,21,4991.0,23,4866.0,40
20210919131057,FA0002_GW01_H02_0015_20210919131057_farm_image_real_c17e09bb.jpg,4596.0,32,5232.0,14,4817.0,40
20210902130824,FA0002_GW01_H01_0002_20210902130824_farm_image_real_45d5a75d.jpg,2851.0,34,3271.0,14,2973.0,40
20210901130015,FA0002_GW01_H02_0013_20210901130015_farm_image_real_e0da348d.jpg,1718.0,53,1877.0,20,1729.0,40
20210915130249,FA0002_GW01_H02_0010_20210915130249_farm_image_real_4339ef53.jpg,3992.0,29,4464.0,16,4154.0,40
20210917130321,FA0002_GW01_H02_0010_20210917130321_farm_image_real_eec62f16.jpg,3965.0,31,4636.0,15,4147.0,40
20210904130750,FA0002_GW01_H01_0007_20210904130750_farm_image_real_2a2c65a8.jpg,2868.0,56,3032.0,21,2965.0,40
20210916130221,FA0002_GW01_H01_0007_20210916130221_farm_image_real_f732e9ee.jpg,5164.0,26,5779.0,15,5372.0,40
20210915130500,FA0002_GW01_H01_0007_20210915130500_farm_image_real_b0cd2cb3.jpg,5117.0,21,5488.0,20,5301.0,40
20210919130035,FA0002_GW01_H01_0001_20210919130035_farm_image_real_e5796330.jpg,5342.0,28,6177.0,16,5567.0,40
20210907130152,FA0002_GW01_H02_0013_20210907130152_farm_image_real_c7ce5c0c.jpg,2366.0,55,2419.0,14,2361.0,40
20210924130903,FA0002_GW01_H01_0001_20210924130903_farm_image_real_14a27fc0.jpg,5917.0,24,6299.0,15,6064.0,39
20210925130345,FA0002_GW01_H02_0015_20210925130345_farm_image_real_4e70e5f0.jpg,5900.0,22,5912.0,15,5905.0,37
20210920130021,FA0002_GW01_H02_0010_20210920130021_farm_image_real_3090197a.jpg,4424.0,30,4999.0,20,4611.0,40
20210928130118,FA0002_GW01_H01_0002_20210928130118_farm_image_real_e2b4a4de.jpg,7089.0,12,8597.0,10,7775.0,22
20210924130958,FA0002_GW01_H02_0010_20210924130958_farm_image_real_faf7dd74.jpg,5022.0,24,5542.0,27,5142.0,40
20210908130429,FA0002_GW01_H02_0010_20210908130429_farm_image_real_d9f020bc.jpg,2444.0,54,2679.0,15,2512.0,40
20210905130020,FA0002_GW01_H01_0002_20210905130020_farm_image_real_72aa419b.jpg,2815.0,55,3200.0,8,2862.0,40
20210917130035,FA0002_GW01_H01_0007_20210917130035_farm_image_real_8f25f9e1.jpg,5607.0,16,5598.0,12,5603.0,28
20210919130039,FA0002_GW01_H01_0002_20210919130039_farm_image_real_c9220f4a.jpg,5625.0,17,6111.0,15,5853.0,32
20210920130051,FA0002_GW01_H01_0002_20210920130051_farm_image_real_812696e7.jpg,5848.0,19,5772.0,11,5820.0,30
20210918130240,FA0002_GW01_H01_0001_20210918130240_farm_image_real_6c0044e7.jpg,5224.0,34,5888.0,15,5382.0,40
20210911130403,FA0002_GW01_H02_0015_20210911130403_farm_image_real_a4640236.jpg,3105.0,56,3431.0,17,3155.0,40
20210926131015,FA0002_GW01_H02_0015_20210926131015_farm_image_real_9ae45d05.jpg,5454.0,13,6961.0,8,6028.0,21
20210927130451,FA0002_GW01_H01_0007_20210927130451_farm_image_real_a6802281.jpg,6457.0,13,7009.0,5,6610.0,18
20210928130030,FA0002_GW01_H02_0010_20210928130030_farm_image_real_33798ba2.jpg,5520.0,26,5935.0,18,5644.0,40
20210912130824,FA0002_GW01_H02_0015_20210912130824_farm_image_real_97fb753c.jpg,3333.0,45,3692.0,26,3496.0,40
20210925130122,FA0002_GW01_H01_0002_20210925130122_farm_image_real_00ffffd9.jpg,6923.0,13,7340.0,13,7132.0,26
20210925130908,FA0002_GW01_H01_0001_20210925130908_farm_image_real_c7b7175a.jpg,6395.0,19,6892.0,19,6644.0,38
20210920130651,FA0002_GW01_H01_0007_20210920130651_farm_image_real_153349a6.jpg,6021.0,22,6483.0,8,6144.0,30
20210915130850,FA0002_GW01_H01_0001_20210915130850_farm_image_real_88037dc1.jpg,4708.0,36,5641.0,22,5090.0,40
20210907130158,FA0002_GW01_H01_0007_20210907130158_farm_image_real_3102169d.jpg,3263.0,47,3959.0,15,3453.0,40
20210922130039,FA0002_GW01_H01_0001_20210922130039_farm_image_real_2e1d6a22.jpg,5661.0,35,6716.0,18,6009.0,40
20210902131016,FA0002_GW01_H02_0010_20210902131016_farm_image_real_d8ab3ad4.jpg,2066.0,45,2130.0,30,2103.0,40
20210926130238,FA0002_GW01_H01_0007_20210926130238_farm_image_real_0efaa784.jpg,6480.0,24,6963.0,23,6723.0,40
20210904130749,FA0002_GW01_H01_0002_20210904130749_farm_image_real_e14f7744.jpg,2958.0,52,3142.0,16,2999.0,40
20210905131021,FA0002_GW01_H01_0007_20210905131021_farm_image_real_394b3b77.jpg,3345.0,43,3369.0,23,3319.0,40
20210924130757,FA0002_GW01_H02_0015_20210924130757_farm_image_real_5290694e.jpg,5705.0,29,6688.0,12,6001.0,40
20210927130043,FA0002_GW01_H01_0002_20210927130043_farm_image_real_e2249df5.jpg,6337.0,12,7424.0,7,6737.0,19
20210902130219,FA0002_GW01_H02_0013_20210902130219_farm_image_real_9e495d91.jpg,1804.0,52,1967.0,27,1855.0,40
