수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-07-02 13:32:40,GW01,1,00000001,co2,402.93,20210702133238
2021-07-02 13:32:40,GW01,1,00000001,nh3,4.43,20210702133238
2021-07-02 13:31:49,GW01,1,00000001,humidity,73.49831,20210702133147
2021-07-02 13:31:49,GW01,1,00000001,temp,27.78168,20210702133147
2021-07-02 13:30:40,GW01,1,00000001,co2,402.79,20210702133038
2021-07-02 13:30:40,GW01,1,00000001,nh3,4.25,20210702133038
2021-07-02 13:29:49,GW01,1,00000001,humidity,73.55666,20210702132947
2021-07-02 13:29:49,GW01,1,00000001,temp,27.75168,20210702132947
2021-07-02 13:28:40,GW01,1,00000001,nh3,3.98,20210702132837
2021-07-02 13:28:40,GW01,1,00000001,co2,402.60,20210702132837
2021-07-02 13:27:49,GW01,1,00000001,temp,27.70832,20210702132747
2021-07-02 13:27:49,GW01,1,00000001,humidity,73.6833,20210702132747
2021-07-02 13:26:39,GW01,1,00000001,nh3,3.67,20210702132637
2021-07-02 13:26:39,GW01,1,00000001,co2,402.37,20210702132637
2021-07-02 13:25:49,GW01,1,00000001,temp,27.70165,20210702132547
2021-07-02 13:25:49,GW01,1,00000001,humidity,73.70002,20210702132547
2021-07-02 13:24:40,GW01,1,00000001,co2,402.15,20210702132437
2021-07-02 13:24:40,GW01,1,00000001,nh3,3.38,20210702132437
2021-07-02 13:23:49,GW01,1,00000001,humidity,73.73168,20210702132347
2021-07-02 13:23:49,GW01,1,00000001,temp,27.68332,20210702132347
2021-07-02 13:22:40,GW01,1,00000001,co2,401.92,20210702132237
2021-07-02 13:22:40,GW01,1,00000001,nh3,3.07,20210702132237
2021-07-02 13:21:49,GW01,1,00000001,temp,27.62499,20210702132147
2021-07-02 13:21:49,GW01,1,00000001,humidity,73.10167,20210702132147
2021-07-02 13:20:40,GW01,1,00000001,co2,401.93,20210702132037
2021-07-02 13:20:40,GW01,1,00000001,nh3,3.08,20210702132037
2021-07-02 13:19:49,GW01,1,00000001,temp,27.59321,20210702131947
2021-07-02 13:19:49,GW01,1,00000001,humidity,72.51187,20210702131947
2021-07-02 13:18:39,GW01,1,00000001,co2,401.86,20210702131839
2021-07-02 13:18:39,GW01,1,00000001,nh3,2.99,20210702131839
2021-07-02 13:17:49,GW01,1,00000001,humidity,71.46999,20210702131748
2021-07-02 13:17:49,GW01,1,00000001,temp,27.54666,20210702131748
2021-07-02 13:16:40,GW01,1,00000001,nh3,3.03,20210702131639
2021-07-02 13:16:40,GW01,1,00000001,co2,401.89,20210702131639
2021-07-02 13:15:49,GW01,1,00000001,humidity,71.05503,20210702131548
2021-07-02 13:15:49,GW01,1,00000001,temp,27.52,20210702131548
2021-07-02 13:14:39,GW01,1,00000001,co2,401.99,20210702131439
2021-07-02 13:14:39,GW01,1,00000001,nh3,3.17,20210702131439
2021-07-02 13:13:49,GW01,1,00000001,humidity,71.09834,20210702131348
2021-07-02 13:13:49,GW01,1,00000001,temp,27.54999,20210702131348
2021-07-02 13:12:40,GW01,1,00000001,nh3,3.29,20210702131239
2021-07-02 13:12:40,GW01,1,00000001,co2,402.08,20210702131239
2021-07-02 13:11:49,GW01,1,00000001,humidity,71.42831,20210702131148
2021-07-02 13:11:49,GW01,1,00000001,temp,27.515,20210702131148
2021-07-02 13:10:39,GW01,1,00000001,nh3,3.42,20210702131039
2021-07-02 13:10:39,GW01,1,00000001,co2,402.17,20210702131039
2021-07-02 13:09:49,GW01,1,00000001,temp,27.505,20210702130948
2021-07-02 13:09:49,GW01,1,00000001,humidity,71.71834,20210702130948
2021-07-02 13:08:40,GW01,1,00000001,co2,402.15,20210702130839
2021-07-02 13:08:40,GW01,1,00000001,nh3,3.39,20210702130839
2021-07-02 13:07:49,GW01,1,00000001,temp,27.495,20210702130748
2021-07-02 13:07:49,GW01,1,00000001,humidity,72.87497,20210702130748
2021-07-02 13:06:40,GW01,1,00000001,nh3,3.16,20210702130639
2021-07-02 13:06:40,GW01,1,00000001,co2,401.98,20210702130639
