수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-09-17 00:02:02,GW01,H01,1102,co2,544,20210916150001
2021-09-17 00:02:02,GW01,H01,1102,nh3,1.322386,20210916150001
2021-09-17 00:02:30,GW01,H01,2002,humidity,79.45251,20210917000230
2021-09-17 00:02:52,GW01,H02,2001,humidity,78.1627,20210101000000
2021-09-17 00:02:30,GW01,H01,2002,temp,24.69491,20210917000230
2021-09-17 00:04:54,GW01,H02,2003,humidity,69.83447,20210917000453
2021-09-17 00:05:17,GW01,H01,2000,temp,24.49655,20210101000000
2021-09-17 00:04:54,GW01,H02,2003,temp,24.99828,20210917000453
2021-09-17 00:05:17,GW01,H01,2000,humidity,82.27934,20210101000000
2021-09-17 00:06:52,GW01,H02,2001,temp,25.09151,20210101000000
2021-09-17 00:07:45,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:07:45,GW01,H01,1100,nh3,0.018476,20210101000000
2021-09-17 00:12:30,GW01,H01,2002,temp,24.69827,20210917001228
2021-09-17 00:12:03,GW01,H01,1102,co2,550,20210916151002
2021-09-17 00:12:30,GW01,H01,2002,humidity,79.46899,20210917001228
2021-09-17 00:12:52,GW01,H02,2001,humidity,78.2593,20210101000000
2021-09-17 00:12:03,GW01,H01,1102,nh3,1.311601,20210916151002
2021-09-17 00:14:54,GW01,H02,2003,temp,24.99831,20210917001453
2021-09-17 00:15:17,GW01,H01,2000,humidity,82.39822,20210101000000
2021-09-17 00:14:54,GW01,H02,2003,humidity,69.89827,20210917001453
2021-09-17 00:15:17,GW01,H01,2000,temp,24.49828,20210101000000
2021-09-17 00:16:52,GW01,H02,2001,temp,25.00339,20210101000000
2021-09-17 00:17:46,GW01,H01,1100,nh3,0.026141,20210101000000
2021-09-17 00:17:46,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:22:30,GW01,H01,2002,temp,24.69137,20210917002229
2021-09-17 00:22:05,GW01,H01,1102,nh3,1.308895,20210916152003
2021-09-17 00:22:05,GW01,H01,1102,co2,554,20210916152003
2021-09-17 00:22:30,GW01,H01,2002,humidity,79.45518,20210917002229
2021-09-17 00:22:52,GW01,H02,2001,humidity,78.27589,20210101000000
2021-09-17 00:24:54,GW01,H02,2003,temp,24.92457,20210917002453
2021-09-17 00:24:54,GW01,H02,2003,humidity,69.86489,20210917002453
2021-09-17 00:25:17,GW01,H01,2000,humidity,82.31207,20210101000000
2021-09-17 00:25:17,GW01,H01,2000,temp,24.5,20210101000000
2021-09-17 00:26:52,GW01,H02,2001,temp,25,20210101000000
2021-09-17 00:27:46,GW01,H01,1100,nh3,0.019984,20210101000000
2021-09-17 00:27:46,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:32:30,GW01,H01,2002,temp,24.64827,20210917003229
2021-09-17 00:32:05,GW01,H01,1102,nh3,1.271653,20210916153004
2021-09-17 00:32:30,GW01,H01,2002,humidity,79.41031,20210917003229
2021-09-17 00:32:05,GW01,H01,1102,co2,551,20210916153004
2021-09-17 00:32:52,GW01,H02,2001,humidity,78.27068,20210101000000
2021-09-17 00:34:54,GW01,H02,2003,humidity,69.99834,20210917003453
2021-09-17 00:34:54,GW01,H02,2003,temp,24.89663,20210917003453
2021-09-17 00:35:17,GW01,H01,2000,temp,24.48104,20210101000000
2021-09-17 00:35:17,GW01,H01,2000,humidity,82.38099,20210101000000
2021-09-17 00:37:47,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:37:47,GW01,H01,1100,nh3,0.017146,20210101000000
2021-09-17 00:36:52,GW01,H02,2001,temp,25,20210101000000
2021-09-17 00:42:30,GW01,H01,2002,temp,24.59309,20210917004229
2021-09-17 00:42:06,GW01,H01,1102,co2,532,20210916154005
2021-09-17 00:42:06,GW01,H01,1102,nh3,1.200678,20210916154005
2021-09-17 00:42:30,GW01,H01,2002,humidity,79.5966,20210917004229
2021-09-17 00:42:52,GW01,H02,2001,humidity,78.64484,20210101000000
2021-09-17 00:45:17,GW01,H01,2000,temp,24.40001,20210101000000
2021-09-17 00:44:54,GW01,H02,2003,humidity,70.23793,20210917004452
2021-09-17 00:44:54,GW01,H02,2003,temp,24.80173,20210917004452
2021-09-17 00:45:17,GW01,H01,2000,humidity,82.44482,20210101000000
2021-09-17 00:46:52,GW01,H02,2001,temp,24.9707,20210101000000
2021-09-17 00:47:59,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:47:59,GW01,H01,1100,nh3,0.017226,20210101000000
2021-09-17 00:52:30,GW01,H01,2002,temp,24.59151,20210917005230
2021-09-17 00:52:08,GW01,H01,1102,nh3,1.204732,20210916155006
2021-09-17 00:52:30,GW01,H01,2002,humidity,79.89826,20210917005230
2021-09-17 00:52:08,GW01,H01,1102,co2,548,20210916155006
2021-09-17 00:52:52,GW01,H02,2001,humidity,78.65174,20210101000000
2021-09-17 00:54:54,GW01,H02,2003,temp,24.80001,20210917005452
2021-09-17 00:55:17,GW01,H01,2000,temp,24.40001,20210101000000
2021-09-17 00:54:54,GW01,H02,2003,humidity,70.2017,20210917005452
2021-09-17 00:55:17,GW01,H01,2000,humidity,82.71521,20210101000000
2021-09-17 00:56:52,GW01,H02,2001,temp,24.90519,20210101000000
2021-09-17 00:58:00,GW01,H01,1100,co2,0,20210101000000
2021-09-17 00:58:00,GW01,H01,1100,nh3,0.020346,20210101000000
2021-09-17 01:02:30,GW01,H01,2002,temp,24.5966,20210917010230
2021-09-17 01:02:52,GW01,H02,2001,humidity,78.96551,20210101000000
2021-09-17 01:02:31,GW01,H01,2002,humidity,79.85759,20210917010230
2021-09-17 01:02:09,GW01,H01,1102,co2,551,20210916160008
2021-09-17 01:02:09,GW01,H01,1102,nh3,1.25598,20210916160008
2021-09-17 01:04:54,GW01,H02,2003,humidity,70.49828,20210917010452
2021-09-17 01:05:17,GW01,H01,2000,humidity,82.78643,20210101000000
2021-09-17 01:05:17,GW01,H01,2000,temp,24.40001,20210101000000
2021-09-17 01:04:54,GW01,H02,2003,temp,24.80173,20210917010452
2021-09-17 01:06:52,GW01,H02,2001,temp,24.89832,20210101000000
2021-09-17 01:08:00,GW01,H01,1100,co2,0,20210101000000
2021-09-17 01:08:00,GW01,H01,1100,nh3,0.02265,20210101000000
2021-09-17 01:12:10,GW01,H01,1102,co2,562,20210916161009
2021-09-17 01:12:30,GW01,H01,2002,temp,24.58134,20210917011230
2021-09-17 01:12:31,GW01,H01,2002,humidity,80.02542,20210917011230
2021-09-17 01:12:10,GW01,H01,1102,nh3,1.241843,20210916161009
2021-09-17 01:12:52,GW01,H02,2001,humidity,78.92709,20210101000000
2021-09-17 01:15:17,GW01,H01,2000,temp,24.39484,20210101000000
2021-09-17 01:15:17,GW01,H01,2000,humidity,82.91203,20210101000000
2021-09-17 01:14:54,GW01,H02,2003,humidity,70.35711,20210917011453
2021-09-17 01:14:54,GW01,H02,2003,temp,24.79465,20210917011453
2021-09-17 01:16:52,GW01,H02,2001,temp,24.88815,20210101000000
2021-09-17 01:18:01,GW01,H01,1100,co2,0,20210101000000
2021-09-17 01:18:01,GW01,H01,1100,nh3,0.022233,20210101000000
2021-09-17 01:22:11,GW01,H01,1102,co2,552,20210916162010
2021-09-17 01:22:11,GW01,H01,1102,nh3,1.235268,20210916162010
2021-09-17 01:22:31,GW01,H01,2002,temp,24.48448,20210917012229
2021-09-17 01:22:31,GW01,H01,2002,humidity,80.24485,20210917012229
2021-09-17 01:22:52,GW01,H02,2001,humidity,79.09666,20210101000000
2021-09-17 01:25:17,GW01,H01,2000,temp,24.34656,20210101000000
2021-09-17 01:24:54,GW01,H02,2003,humidity,70.61526,20210917012453
2021-09-17 01:24:54,GW01,H02,2003,temp,24.77796,20210917012453
2021-09-17 01:25:17,GW01,H01,2000,humidity,83.06557,20210101000000
2021-09-17 01:26:52,GW01,H02,2001,temp,24.87459,20210101000000
2021-09-17 01:28:13,GW01,H01,1100,co2,0,20210101000000
2021-09-17 01:28:13,GW01,H01,1100,nh3,0.022516,20210101000000
2021-09-17 01:32:12,GW01,H01,1102,nh3,1.232711,20210916163011
2021-09-17 01:32:12,GW01,H01,1102,co2,547,20210916163011
2021-09-17 01:32:31,GW01,H01,2002,humidity,80.33445,20210917013229
2021-09-17 01:32:31,GW01,H01,2002,temp,24.46208,20210917013229
2021-09-17 01:32:52,GW01,H02,2001,humidity,79.25087,20210101000000
2021-09-17 01:35:17,GW01,H01,2000,humidity,83.17415,20210101000000
2021-09-17 01:34:54,GW01,H02,2003,temp,24.74577,20210917013453
2021-09-17 01:34:54,GW01,H02,2003,humidity,70.66611,20210917013453
2021-09-17 01:35:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 01:36:52,GW01,H02,2001,temp,24.8034,20210101000000
2021-09-17 01:38:14,GW01,H01,1100,nh3,0.020443,20210101000000
2021-09-17 01:38:14,GW01,H01,1100,co2,0,20210101000000
2021-09-17 01:42:13,GW01,H01,1102,co2,542,20210916164012
2021-09-17 01:42:13,GW01,H01,1102,nh3,1.246811,20210916164012
2021-09-17 01:42:31,GW01,H01,2002,temp,24.46207,20210917014229
2021-09-17 01:42:31,GW01,H01,2002,humidity,80.07588,20210917014229
2021-09-17 01:42:52,GW01,H02,2001,humidity,79.11555,20210101000000
2021-09-17 01:45:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 01:44:54,GW01,H02,2003,temp,24.70677,20210917014454
2021-09-17 01:45:17,GW01,H01,2000,humidity,82.99831,20210101000000
2021-09-17 01:44:54,GW01,H02,2003,humidity,70.47289,20210917014454
2021-09-17 01:46:52,GW01,H02,2001,temp,24.80001,20210101000000
2021-09-17 01:48:14,GW01,H01,1100,co2,0,20210101000000
2021-09-17 01:48:14,GW01,H01,1100,nh3,0.019241,20210101000000
2021-09-17 01:52:15,GW01,H01,1102,co2,549,20210916165013
2021-09-17 01:52:15,GW01,H01,1102,nh3,1.232822,20210916165013
2021-09-17 01:52:31,GW01,H01,2002,temp,24.48449,20210917015229
2021-09-17 01:52:31,GW01,H01,2002,humidity,80.25692,20210917015229
2021-09-17 01:52:52,GW01,H02,2001,humidity,79.30862,20210101000000
2021-09-17 01:55:17,GW01,H01,2000,humidity,83.07291,20210101000000
2021-09-17 01:55:17,GW01,H01,2000,temp,24.29831,20210101000000
2021-09-17 01:54:54,GW01,H02,2003,humidity,70.70344,20210917015452
2021-09-17 01:54:54,GW01,H02,2003,temp,24.65344,20210917015452
2021-09-17 01:56:52,GW01,H02,2001,temp,24.79828,20210101000000
2021-09-17 01:58:15,GW01,H01,1100,nh3,0.021352,20210101000000
2021-09-17 01:58:15,GW01,H01,1100,co2,0,20210101000000
2021-09-17 02:02:16,GW01,H01,1102,nh3,1.262409,20210916170015
2021-09-17 02:02:52,GW01,H02,2001,humidity,79.28448,20210101000000
2021-09-17 02:02:31,GW01,H01,2002,humidity,80.20849,20210917020230
2021-09-17 02:02:31,GW01,H01,2002,temp,24.46441,20210917020230
2021-09-17 02:02:16,GW01,H01,1102,co2,559,20210916170015
2021-09-17 02:05:17,GW01,H01,2000,humidity,83.11022,20210101000000
2021-09-17 02:05:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 02:04:54,GW01,H02,2003,temp,24.69827,20210917020452
2021-09-17 02:04:54,GW01,H02,2003,humidity,70.72413,20210917020452
2021-09-17 02:06:52,GW01,H02,2001,temp,24.75173,20210101000000
2021-09-17 02:08:15,GW01,H01,1100,nh3,0.018059,20210101000000
2021-09-17 02:08:15,GW01,H01,1100,co2,0,20210101000000
2021-09-17 02:12:31,GW01,H01,2002,humidity,80.01525,20210917021230
2021-09-17 02:12:52,GW01,H02,2001,humidity,79.15865,20210101000000
2021-09-17 02:12:17,GW01,H01,1102,co2,549,20210916171016
2021-09-17 02:12:31,GW01,H01,2002,temp,24.47966,20210917021230
2021-09-17 02:12:17,GW01,H01,1102,nh3,1.235562,20210916171016
2021-09-17 02:14:54,GW01,H02,2003,humidity,70.38181,20210917021452
2021-09-17 02:15:17,GW01,H01,2000,humidity,82.97411,20210101000000
2021-09-17 02:15:17,GW01,H01,2000,temp,24.30001,20210101000000
2021-09-17 02:14:54,GW01,H02,2003,temp,24.70181,20210917021452
2021-09-17 02:16:55,GW01,H02,2001,temp,24.78305,20210101000000
2021-09-17 02:18:16,GW01,H01,1100,co2,0,20210101000000
