"TID","CREATE_TIME","HOUSE_ID","MODULE_ID","DATA_TYPE","ORG_FILE_NAME","WEIGHT_PREDICTION_RESULT_FILE_NAME","WEIGHT_PREDICTION_COUNT","WEIGHT_PREDICTION_PIXEL_MEAN","WEIGHT_PREDICTION_WEIGHT","WEIGHT_PREDICTION_STATUS","SEND_TID"
"24bb28824215","2021-12-15 17:06:18","H02","CT02,6","real","H02_CT02,6_20211215170618_farm_image_real_24bb28824215.jpg",NULL,NULL,NULL,NULL,"fail","f1c86b8841b0"
"52bdf392452c","2021-12-15 17:06:34","H03","CT03,6","real","H03_CT03,6_20211215170634_farm_image_real_52bdf392452c.jpg",NULL,NULL,NULL,NULL,"fail","24792c474fac"
"5fc2b67c4154","2021-12-15 17:06:46","H04","CT04,6","real","H04_CT04,6_20211215170646_farm_image_real_5fc2b67c4154.jpg",NULL,NULL,NULL,NULL,"fail","214a71d04974"
"3d2d0f594e2d","2021-12-15 17:06:59","H01","CT01,6","real","H01_CT01,6_20211215170659_farm_image_real_3d2d0f594e2d.jpg",NULL,NULL,NULL,NULL,"fail","98f6e3ea4c49"
"a2a732e341a4","2021-12-15 17:16:18","H02","CT02,6","real","H02_CT02,6_20211215171618_farm_image_real_a2a732e341a4.jpg",NULL,NULL,NULL,NULL,"fail","c5f135b64ecc"
"8ab085854595","2021-12-15 17:16:33","H01","CT01,6","real","H01_CT01,6_20211215171633_farm_image_real_8ab085854595.jpg",NULL,NULL,NULL,NULL,"fail","31595a164f1d"
"62635bd54aa2","2021-12-15 17:16:38","H03","CT03,6","real","H03_CT03,6_20211215171638_farm_image_real_62635bd54aa2.jpg",NULL,NULL,NULL,NULL,"fail","e93a01eb4945"
"ee8cac44443b","2021-12-15 17:16:49","H04","CT04,6","real","H04_CT04,6_20211215171649_farm_image_real_ee8cac44443b.jpg",NULL,NULL,NULL,NULL,"fail","999d95b24acf"
"ed12aec04903","2021-12-15 17:26:18","H02","CT02,6","real","H02_CT02,6_20211215172618_farm_image_real_ed12aec04903.jpg",NULL,NULL,NULL,NULL,"fail","3d527a644a0a"
"319b1d094686","2021-12-15 17:26:37","H03","CT03,6","real","H03_CT03,6_20211215172637_farm_image_real_319b1d094686.jpg",NULL,NULL,NULL,NULL,"fail","2a4024254e50"
"137e7a1a4cda","2021-12-15 17:26:38","H01","CT01,6","real","H01_CT01,6_20211215172638_farm_image_real_137e7a1a4cda.jpg",NULL,NULL,NULL,NULL,"fail","09eb73dd468f"
"d8d870a74898","2021-12-15 17:26:43","H04","CT04,6","real","H04_CT04,6_20211215172643_farm_image_real_d8d870a74898.jpg",NULL,NULL,NULL,NULL,"fail","4e9a70f24bac"
