,sensorTime,No,temp_mean
0,2021-08-03 15:00:00,H01,26.74
1,2021-08-03 15:00:00,H02,26.859335
2,2021-08-03 16:00:00,H01,26.875594285714286
3,2021-08-03 17:00:00,H01,26.97119
5,2021-08-04 16:00:00,H01,26.64351875
6,2021-08-04 17:00:00,H01,26.779743333333332
9,2021-08-05 11:00:00,H01,25.70216575
10,2021-08-06 14:00:00,H01,36.22275125
12,2021-08-06 16:00:00,H01,29.585784
13,2021-08-06 17:00:00,H01,28.90096555555556
14,2021-08-06 18:00:00,H01,28.17350272727272
15,2021-08-06 19:00:00,H01,27.03945
16,2021-08-06 20:00:00,H01,26.934326666666667
17,2021-08-06 21:00:00,H01,27.833169166666668
18,2021-08-06 22:00:00,H01,27.252803333333333
19,2021-08-06 23:00:00,H01,26.827106666666662
20,2021-08-07 00:00:00,H01,26.68982
21,2021-08-07 01:00:00,H01,26.386127999999996
22,2021-08-07 02:00:00,H01,25.874008333333336
23,2021-08-07 03:00:00,H01,25.394463333333334
24,2021-08-07 04:00:00,H01,25.136589999999998
25,2021-08-07 05:00:00,H01,25.281011666666668
26,2021-08-07 06:00:00,H01,24.881614999999996
27,2021-08-07 07:00:00,H01,24.542760833333332
28,2021-08-07 08:00:00,H01,26.83379583333333
29,2021-08-07 09:00:00,H01,29.22791833333333
30,2021-08-07 10:00:00,H01,30.761782727272728
31,2021-08-07 11:00:00,H01,31.818067499999998
32,2021-08-07 12:00:00,H01,32.119236666666666
33,2021-08-07 13:00:00,H01,32.55090666666667
34,2021-08-07 14:00:00,H01,33.75775333333333
35,2021-08-07 15:00:00,H01,32.89637666666666
36,2021-08-07 16:00:00,H01,32.380514166666664
37,2021-08-07 17:00:00,H01,32.047489166666665
38,2021-08-07 18:00:00,H01,30.39681
39,2021-08-07 19:00:00,H01,28.995294166666667
40,2021-08-07 20:00:00,H01,29.0139475
41,2021-08-07 21:00:00,H01,28.323769090909085
42,2021-08-07 22:00:00,H01,27.491973333333334
43,2021-08-07 23:00:00,H01,26.920476666666662
44,2021-08-08 00:00:00,H01,26.47120666666667
45,2021-08-08 01:00:00,H01,26.370193333333333
46,2021-08-08 02:00:00,H01,26.34789333333333
47,2021-08-08 03:00:00,H01,26.12038
48,2021-08-08 04:00:00,H01,26.064832000000003
49,2021-08-08 05:00:00,H01,25.908500000000004
50,2021-08-08 06:00:00,H01,25.636660000000006
51,2021-08-08 07:00:00,H01,25.754483999999998
52,2021-08-08 08:00:00,H01,27.755781666666667
53,2021-08-08 09:00:00,H01,29.357229999999998
54,2021-08-08 10:00:00,H01,30.060748333333333
55,2021-08-08 11:00:00,H01,30.609858333333335
