,CREATE_TIME,HOUSE_ID,MODULE_ID,WEIGHT_PREDICTION_WEIGHT,WEIGHT_PREDICTION_PIXEL_MEDIAN
0,2022-01-20 11:17:33,H02,"CT04,2",74.4,
1,2022-01-20 11:17:45,H02,"CT05,5",73.7,
2,2022-01-20 11:17:54,H02,"CT06,8",71.8,
3,2022-01-20 11:18:02,H03,"CT07,2",70.9,
4,2022-01-20 11:18:12,H03,"CT08,5",81.3,
5,2022-01-20 11:18:24,H03,"CT09,8",70.7,
6,2022-01-20 11:18:35,H03,"CT10,11",17.1,
7,2022-01-20 11:19:27,H01,"CT01,2",71.0,
8,2022-01-20 11:32:33,H02,"CT04,2",38.3,
9,2022-01-20 11:32:52,H02,"CT05,5",37.1,
10,2022-01-20 11:33:02,H02,"CT06,8",35.6,
11,2022-01-20 11:33:02,H03,"CT07,2",36.8,
12,2022-01-20 11:33:13,H03,"CT08,5",38.0,
13,2022-01-20 11:33:23,H03,"CT09,8",38.9,
14,2022-01-20 11:33:33,H03,"CT10,11",34.1,
15,2022-01-20 11:47:37,H02,"CT04,2",41.4,
16,2022-01-20 11:48:00,H02,"CT05,5",41.0,
17,2022-01-20 11:48:02,H03,"CT07,2",34.8,
18,2022-01-20 11:48:13,H03,"CT08,5",36.4,
19,2022-01-20 11:48:14,H02,"CT06,8",35.8,
20,2022-01-20 11:48:25,H03,"CT09,8",36.8,
21,2022-01-20 11:48:34,H03,"CT10,11",33.3,
22,2022-01-20 12:02:37,H02,"CT04,2",26.3,
23,2022-01-20 12:03:01,H02,"CT05,5",38.3,
24,2022-01-20 12:03:02,H03,"CT07,2",32.2,
25,2022-01-20 12:03:13,H03,"CT08,5",34.9,
26,2022-01-20 12:03:16,H02,"CT06,8",37.2,
27,2022-01-20 12:03:25,H03,"CT09,8",35.1,
28,2022-01-20 12:03:33,H03,"CT10,11",35.0,
29,2022-01-20 12:17:45,H02,"CT04,2",39.3,
30,2022-01-20 12:18:01,H02,"CT05,5",39.1,
31,2022-01-20 12:18:02,H03,"CT07,2",38.6,
32,2022-01-20 12:18:16,H03,"CT08,5",36.5,
33,2022-01-20 12:18:20,H02,"CT06,8",34.8,
34,2022-01-20 12:18:23,H03,"CT09,8",35.1,
35,2022-01-20 12:18:33,H03,"CT10,11",36.6,
36,2022-01-20 12:32:45,H02,"CT04,2",38.7,
37,2022-01-20 12:33:02,H02,"CT05,5",38.7,
38,2022-01-20 12:33:02,H03,"CT07,2",33.6,
39,2022-01-20 12:33:17,H03,"CT08,5",35.9,
40,2022-01-20 12:33:22,H03,"CT09,8",36.1,
41,2022-01-20 12:33:27,H02,"CT06,8",38.0,
42,2022-01-20 12:33:33,H03,"CT10,11",33.6,
43,2022-01-20 12:33:34,H01,"CT02,5",45.8,
44,2022-01-20 12:47:46,H02,"CT04,2",40.0,
45,2022-01-20 12:47:50,H01,"CT02,5",30.9,
46,2022-01-20 12:48:03,H03,"CT07,2",37.4,
47,2022-01-20 12:48:16,H02,"CT05,5",38.5,
48,2022-01-20 12:48:21,H03,"CT08,5",37.0,
49,2022-01-20 12:48:41,H03,"CT10,11",35.5,
50,2022-01-20 13:02:34,H02,"CT04,2",37.7,
51,2022-01-20 13:02:47,H02,"CT05,5",37.5,
52,2022-01-20 13:02:58,H02,"CT06,8",35.9,
53,2022-01-20 13:03:02,H03,"CT07,2",35.4,
54,2022-01-20 13:03:12,H03,"CT08,5",36.7,
